person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q12847,Ambiorix,Point(2.9 46.5),-100,36
http://www.wikidata.org/entity/Q178953,Vercingetorix,Point(2.9 46.5),-79,63
http://www.wikidata.org/entity/Q191956,Majorian,Point(2.9 46.5),420,55
http://www.wikidata.org/entity/Q236459,Julia the Younger,Point(2.9 46.5),-18,29
http://www.wikidata.org/entity/Q242475,Locusta,Point(2.9 46.5),1,21
http://www.wikidata.org/entity/Q265757,Diviciacus,Point(2.9 46.5),-50,14
http://www.wikidata.org/entity/Q312603,Postumus,Point(2.9 46.5),250,35
http://www.wikidata.org/entity/Q314911,Brennus,Point(2.9 46.5),-500,43
http://www.wikidata.org/entity/Q333770,Victorinus,Point(2.9 46.5),300,31
http://www.wikidata.org/entity/Q333836,Crixus,Point(2.9 46.5),-100,31
http://www.wikidata.org/entity/Q339240,Acco,Point(2.9 46.5),-100,7
http://www.wikidata.org/entity/Q370220,Dumnorix,Point(2.9 46.5),-99,15
http://www.wikidata.org/entity/Q384700,Viridovix,Point(2.9 46.5),-50,9
http://www.wikidata.org/entity/Q437604,Julius Saturninus,Point(2.9 46.5),300,20
http://www.wikidata.org/entity/Q469127,Oenomaus,Point(2.9 46.5),-100,19
http://www.wikidata.org/entity/Q488749,Liborius of Le Mans,Point(2.9 46.5),310,12
http://www.wikidata.org/entity/Q662111,Severus Sanctus Endelechius,Point(2.9 46.5),400,15
http://www.wikidata.org/entity/Q662458,Eucheria,Point(2.9 46.5),450,11
http://www.wikidata.org/entity/Q683671,Indutiomarus,Point(2.9 46.5),-50,11
http://www.wikidata.org/entity/Q683954,Eporedorix,Point(2.9 46.5),-100,8
http://www.wikidata.org/entity/Q685015,Divico,Point(2.9 46.5),-150,14
http://www.wikidata.org/entity/Q705919,Rutilius Claudius Namatianus,Point(2.9 46.5),400,27
http://www.wikidata.org/entity/Q715209,Palladius,Point(2.9 46.5),401,15
http://www.wikidata.org/entity/Q761314,Julius Florus,Point(2.9 46.5),-50,6
http://www.wikidata.org/entity/Q816041,Bellovesus,Point(2.9 46.5),-599,10
http://www.wikidata.org/entity/Q837180,Curiatius Maternus,Point(2.9 46.5),50,7
http://www.wikidata.org/entity/Q885884,Arvandus,Point(2.9 46.5),500,10
http://www.wikidata.org/entity/Q899826,Cyprianus,Point(2.9 46.5),397,7
http://www.wikidata.org/entity/Q929553,Viridomarus,Point(2.9 46.5),-300,10
http://www.wikidata.org/entity/Q959633,Volcatius Sedigitus,Point(2.9 46.5),-100,12
http://www.wikidata.org/entity/Q982077,Saint Petronius,Point(2.9 46.5),450,16
http://www.wikidata.org/entity/Q1031761,Camulogene,Point(2.9 46.5),-150,11
http://www.wikidata.org/entity/Q1089196,Ambicatus,Point(2.9 46.5),-599,8
http://www.wikidata.org/entity/Q1092513,Cingetorix,Point(2.9 46.5),-50,10
http://www.wikidata.org/entity/Q1114905,Cativolcus,Point(2.9 46.5),-100,11
http://www.wikidata.org/entity/Q1230243,Vercassivellaunos,Point(2.9 46.5),-100,9
http://www.wikidata.org/entity/Q1230631,Diviciacus,Point(2.9 46.5),-100,7
http://www.wikidata.org/entity/Q1288238,Victricius,Point(2.9 46.5),330,15
http://www.wikidata.org/entity/Q1433355,Julius Indus,Point(2.9 46.5),-50,6
http://www.wikidata.org/entity/Q1478002,Segovesus,Point(2.9 46.5),-599,6
http://www.wikidata.org/entity/Q1621177,Julius Sacrovir,Point(2.9 46.5),-50,7
http://www.wikidata.org/entity/Q1652895,Ganicus,Point(2.9 46.5),-150,16
http://www.wikidata.org/entity/Q2114994,Correus,Point(2.9 46.5),-100,6
http://www.wikidata.org/entity/Q2263241,Aurelianus of Arles,Point(2.9 46.5),523,10
http://www.wikidata.org/entity/Q2743998,Domitian of Huy,Point(2.9 46.5),600,9
http://www.wikidata.org/entity/Q2891791,Latinius Pacatus Drepanius,Point(2.9 46.5),400,13
http://www.wikidata.org/entity/Q3207287,Gaius Julius Victor,Point(2.9 46.5),350,7
http://www.wikidata.org/entity/Q3606884,Agrippinus,Point(2.9 46.5),450,9
http://www.wikidata.org/entity/Q289511,Oda of Haldensleben,Point(11.147222222 51.791666666),901,14
http://www.wikidata.org/entity/Q3425833,Liutgarde,Point(11.639166666 52.131666666),932,13
http://www.wikidata.org/entity/Q71231,Charles the Bald,Point(8.682222222 50.110555555),823,77
http://www.wikidata.org/entity/Q697391,Henry of Franconia,Point(10.891666666 49.891666666),825,13
http://www.wikidata.org/entity/Q697391,Henry of Franconia,Point(10.891666666 49.891666666),830,13
http://www.wikidata.org/entity/Q697391,Henry of Franconia,Point(10.891666666 49.891666666),850,13
http://www.wikidata.org/entity/Q546611,Charles the Child,Point(8.682222222 50.110555555),847,24
http://www.wikidata.org/entity/Q234246,Matilda of Ringelheim,Point(8.566666666 52.133333333),895,30
http://www.wikidata.org/entity/Q154526,Einhard,Point(9.6775 50.552777777),770,46
http://www.wikidata.org/entity/Q52995,Gunderic,Point(11.1 50.9),379,31
http://www.wikidata.org/entity/Q242382,Thusnelda,Point(11.1 50.9),-100,23
http://www.wikidata.org/entity/Q364161,Rechila,Point(11.1 50.9),400,22
http://www.wikidata.org/entity/Q364200,Hermeric,Point(11.1 50.9),380,26
http://www.wikidata.org/entity/Q690058,Arno of Salzburg,Point(12.066666666 48.216666666),750,12
http://www.wikidata.org/entity/Q3555663,Hatheburg of Merseburg,Point(11.992777777 51.354444444),876,6
http://www.wikidata.org/entity/Q3555663,Hatheburg of Merseburg,Point(11.992777777 51.354444444),880,6
http://www.wikidata.org/entity/Q241165,Fastrada,Point(8.056388888 49.974722222),765,21
http://www.wikidata.org/entity/Q516729,Sebaldus,Point(10.865 49.816),750,11
http://www.wikidata.org/entity/Q60889,Wolfgang of Regensburg,Point(9.226111111 48.465555555),924,17
http://www.wikidata.org/entity/Q63651,"Gunther, Margrave of Merseburg",Point(11.809819 51.152095),949,13
http://www.wikidata.org/entity/Q64196,"Adelaide, Abbess of Vilich",Point(6.3325 51.519722222),960,16
http://www.wikidata.org/entity/Q64196,"Adelaide, Abbess of Vilich",Point(6.3325 51.519722222),970,16
http://www.wikidata.org/entity/Q103556,"Henry II, Holy Roman Emperor",Point(12.05 48.933333333),973,61
http://www.wikidata.org/entity/Q232039,Gisela of Hungary,Point(12.05 48.933333333),980,29
http://www.wikidata.org/entity/Q232039,Gisela of Hungary,Point(12.05 48.933333333),985,29
http://www.wikidata.org/entity/Q157099,Louis the Child,Point(12.678333333 48.226666666),893,43
http://www.wikidata.org/entity/Q157099,Louis the Child,Point(12.678333333 48.226666666),893,43
http://www.wikidata.org/entity/Q152256,Conrad II,Point(8.431111111 49.319444444),990,53
http://www.wikidata.org/entity/Q632383,Rupert of Bingen,Point(7.895 49.966944444),712,8
http://www.wikidata.org/entity/Q315627,Gamelbert of Michaelsbuch,Point(12.8 48.816666666),800,7
http://www.wikidata.org/entity/Q455874,Regino of Prüm,Point(8.503611111 49.4325),842,22
http://www.wikidata.org/entity/Q205636,Hordeonius Flaccus,Point(6.72194 51.1839),14,10
http://www.wikidata.org/entity/Q168669,Gerberga of Saxony,Point(10.791111111 51.505),913,29
http://www.wikidata.org/entity/Q367571,Henry I,Point(10.791111111 51.505),920,29
http://www.wikidata.org/entity/Q3053247,Matilda of France,Point(12.246111111 51.834166666),943,18
