person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q61030,Karl von Bülow,Point(13.383333333 52.516666666),1846,28
http://www.wikidata.org/entity/Q61047,Gotthold Eisenstein,Point(13.383333333 52.516666666),1823,38
http://www.wikidata.org/entity/Q61071,Walter Gropius,Point(13.383333333 52.516666666),1883,86
http://www.wikidata.org/entity/Q61078,Walter Benjamin,Point(13.383333333 52.516666666),1892,91
http://www.wikidata.org/entity/Q61080,Hermann Prey,Point(13.383333333 52.516666666),1929,16
http://www.wikidata.org/entity/Q61130,Luigi Colani,Point(13.383333333 52.516666666),1928,21
http://www.wikidata.org/entity/Q61146,Kurt Hahn,Point(13.383333333 52.516666666),1886,26
http://www.wikidata.org/entity/Q61171,Erich Neumann,Point(13.383333333 52.516666666),1905,20
http://www.wikidata.org/entity/Q61248,Tassilo von Heydebrand und der Lasa,Point(13.383333333 52.516666666),1818,20
http://www.wikidata.org/entity/Q61265,Ludwig Lachmann,Point(13.383333333 52.516666666),1906,17
http://www.wikidata.org/entity/Q61272,Christopher Franke,Point(13.383333333 52.516666666),1953,22
http://www.wikidata.org/entity/Q61288,Walter Heitz,Point(13.383333333 52.516666666),1878,22
http://www.wikidata.org/entity/Q61290,Paul Friedrich August Ascherson,Point(13.383333333 52.516666666),1834,22
http://www.wikidata.org/entity/Q61310,Paul de Lagarde,Point(13.383333333 52.516666666),1827,24
http://www.wikidata.org/entity/Q61314,Erich Hückel,Point(13.383333333 52.516666666),1896,24
http://www.wikidata.org/entity/Q61323,Kurt Koffka,Point(13.383333333 52.516666666),1886,35
http://www.wikidata.org/entity/Q61356,Jürgen Prochnow,Point(13.383333333 52.516666666),1941,37
http://www.wikidata.org/entity/Q61357,Johann Karl Friedrich Zöllner,Point(13.383333333 52.516666666),1834,25
http://www.wikidata.org/entity/Q61383,Jean Cabanis,Point(13.383333333 52.516666666),1816,26
http://www.wikidata.org/entity/Q61401,Rudolf Schmidt,Point(13.383333333 52.516666666),1886,19
http://www.wikidata.org/entity/Q61421,Adolf Erman,Point(13.383333333 52.516666666),1854,22
http://www.wikidata.org/entity/Q61507,Gerhard Marcks,Point(13.383333333 52.516666666),1889,17
http://www.wikidata.org/entity/Q61510,Gottfried John,Point(13.383333333 52.516666666),1942,23
http://www.wikidata.org/entity/Q61594,Meret Oppenheim,Point(13.383333333 52.516666666),1913,29
http://www.wikidata.org/entity/Q61654,Max Skladanowsky,Point(13.383333333 52.516666666),1863,23
http://www.wikidata.org/entity/Q61672,Fritz Manteuffel,Point(13.383333333 52.516666666),1875,23
http://www.wikidata.org/entity/Q61676,Karl Neukirch,Point(13.383333333 52.516666666),1864,24
http://www.wikidata.org/entity/Q61684,Georg Hillmar,Point(13.383333333 52.516666666),1876,22
http://www.wikidata.org/entity/Q61686,Walther Meissner,Point(13.383333333 52.516666666),1882,23
http://www.wikidata.org/entity/Q61693,Karl Straube,Point(13.383333333 52.516666666),1873,14
http://www.wikidata.org/entity/Q61708,Hugo Preuß,Point(13.383333333 52.516666666),1860,23
http://www.wikidata.org/entity/Q61719,Otto Wels,Point(13.383333333 52.516666666),1873,36
http://www.wikidata.org/entity/Q61721,Carl Ludwig Siegel,Point(13.383333333 52.516666666),1896,32
http://www.wikidata.org/entity/Q61722,Erich Mühsam,Point(13.383333333 52.516666666),1878,30
http://www.wikidata.org/entity/Q61735,Rudolf Peierls,Point(13.383333333 52.516666666),1907,34
http://www.wikidata.org/entity/Q61786,Prince Albert of Prussia,Point(13.383333333 52.516666666),1837,22
http://www.wikidata.org/entity/Q61800,Sofian Chahed,Point(13.383333333 52.516666666),1983,19
http://www.wikidata.org/entity/Q61859,Henry Koster,Point(13.383333333 52.516666666),1905,25
http://www.wikidata.org/entity/Q62040,Jean Dufresne,Point(13.383333333 52.516666666),1829,20
http://www.wikidata.org/entity/Q62067,Gerda Christian,Point(13.383333333 52.516666666),1913,23
http://www.wikidata.org/entity/Q62082,Änis Ben-Hatira,Point(13.383333333 52.516666666),1988,24
http://www.wikidata.org/entity/Q62093,David McAllister,Point(13.383333333 52.516666666),1971,23
http://www.wikidata.org/entity/Q62094,Thomas Dörflein,Point(13.383333333 52.516666666),1963,14
http://www.wikidata.org/entity/Q62105,Paul Reinecke,Point(13.383333333 52.516666666),1872,17
http://www.wikidata.org/entity/Q62108,Gustav Heinrich Wiedemann,Point(13.383333333 52.516666666),1826,22
http://www.wikidata.org/entity/Q62110,Max Jakob Friedländer,Point(13.383333333 52.516666666),1867,17
http://www.wikidata.org/entity/Q62135,Sexy Cora,Point(13.383333333 52.516666666),1987,17
http://www.wikidata.org/entity/Q62164,Horst Feistel,Point(13.383333333 52.516666666),1915,12
http://www.wikidata.org/entity/Q62178,Carl Gustav Witt,Point(13.383333333 52.516666666),1866,21
http://www.wikidata.org/entity/Q62221,Karl Ludwig Michelet,Point(13.383333333 52.516666666),1801,15
http://www.wikidata.org/entity/Q62274,Elisa Radziwill,Point(13.383333333 52.516666666),1803,15
http://www.wikidata.org/entity/Q62278,Rudolf Schlechter,Point(13.383333333 52.516666666),1872,20
http://www.wikidata.org/entity/Q62286,René Kollo,Point(13.383333333 52.516666666),1937,14
http://www.wikidata.org/entity/Q62290,Martin Luther,Point(13.383333333 52.516666666),1895,16
http://www.wikidata.org/entity/Q62306,Ludwig Aschoff,Point(13.383333333 52.516666666),1866,17
http://www.wikidata.org/entity/Q62334,Ulrich Plenzdorf,Point(13.383333333 52.516666666),1934,22
http://www.wikidata.org/entity/Q62351,August Endell,Point(13.383333333 52.516666666),1871,14
http://www.wikidata.org/entity/Q62374,Lutz D. Schmadel,Point(13.383333333 52.516666666),1942,19
http://www.wikidata.org/entity/Q62415,Hermann Harms,Point(13.383333333 52.516666666),1870,16
http://www.wikidata.org/entity/Q62461,Ferdinand Leitner,Point(13.383333333 52.516666666),1912,16
http://www.wikidata.org/entity/Q62465,Carl Mayet,Point(13.383333333 52.516666666),1810,16
http://www.wikidata.org/entity/Q62496,Harald Quandt,Point(13.383333333 52.516666666),1921,20
http://www.wikidata.org/entity/Q62547,Michael Ballhaus,Point(13.383333333 52.516666666),1935,22
http://www.wikidata.org/entity/Q62557,August Diehl,Point(13.383333333 52.516666666),1976,27
http://www.wikidata.org/entity/Q62581,Natja Brunckhorst,Point(13.383333333 52.516666666),1966,19
http://www.wikidata.org/entity/Q62634,Adelbert Schulz,Point(13.383333333 52.516666666),1903,17
http://www.wikidata.org/entity/Q62661,Herwarth Walden,Point(13.383333333 52.516666666),1878,17
http://www.wikidata.org/entity/Q62661,Herwarth Walden,Point(13.383333333 52.516666666),1879,17
http://www.wikidata.org/entity/Q62678,Kurt Maetzig,Point(13.383333333 52.516666666),1911,19
http://www.wikidata.org/entity/Q62707,Joachim Lemelsen,Point(13.383333333 52.516666666),1888,16
http://www.wikidata.org/entity/Q62714,Walter Noddack,Point(13.383333333 52.516666666),1893,19
http://www.wikidata.org/entity/Q62725,Claus Offe,Point(13.383333333 52.516666666),1940,15
http://www.wikidata.org/entity/Q62753,Günter de Bruyn,Point(13.383333333 52.516666666),1926,19
http://www.wikidata.org/entity/Q62764,Otto von Knobelsdorff,Point(13.383333333 52.516666666),1886,16
http://www.wikidata.org/entity/Q62765,Georg Ebers,Point(13.383333333 52.516666666),1837,29
http://www.wikidata.org/entity/Q62772,Hans Schmidt-Isserstedt,Point(13.383333333 52.516666666),1900,16
http://www.wikidata.org/entity/Q62777,Ernst Ahl,Point(13.383333333 52.516666666),1898,17
http://www.wikidata.org/entity/Q62789,Albert Speer,Point(13.383333333 52.516666666),1934,25
http://www.wikidata.org/entity/Q62860,Otto Wilhelm Hermann von Abich,Point(13.383333333 52.516666666),1806,30
http://www.wikidata.org/entity/Q62926,Leonor Michaelis,Point(13.383333333 52.516666666),1875,20
http://www.wikidata.org/entity/Q62940,Dru Berrymore,Point(13.383333333 52.516666666),1969,18
http://www.wikidata.org/entity/Q62961,Klaus Doldinger,Point(13.383333333 52.516666666),1936,16
