person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q442889,Gertrude of Aldenberg,Point(11.0 51.0),1227,10
http://www.wikidata.org/entity/Q92241,Heinrich Parler the Elder,Point(6.957777777 50.942222222),1300,9
http://www.wikidata.org/entity/Q92241,Heinrich Parler the Elder,Point(6.957777777 50.942222222),1310,9
http://www.wikidata.org/entity/Q506381,Master of Saint Veronica,Point(6.957777777 50.942222222),1385,9
http://www.wikidata.org/entity/Q722525,Asher ben Jehiel,Point(6.957777777 50.942222222),1250,13
http://www.wikidata.org/entity/Q1376849,Jacob ben Asher,Point(6.957777777 50.942222222),1269,16
http://www.wikidata.org/entity/Q704984,Conrad von Soest,Point(7.465277777 51.513888888),1360,15
http://www.wikidata.org/entity/Q19959930,Johannes Hültz,Point(6.957777777 50.942222222),1390,6
http://www.wikidata.org/entity/Q45017,Israel Isserlein,Point(12.083333333 49.016666666),1390,8
http://www.wikidata.org/entity/Q452759,Bertold of Regensburg,Point(12.083333333 49.016666666),1210,9
http://www.wikidata.org/entity/Q77480,Konrad von Würzburg,Point(9.929444444 49.794444444),1225,17
http://www.wikidata.org/entity/Q464867,Lucas Moser,Point(9.99155 48.39841),1390,14
http://www.wikidata.org/entity/Q204356,"Ulrich I, Duke of Mecklenburg-Stargard",Point(11.416666666 53.633333333),1382,10
http://www.wikidata.org/entity/Q472933,"John I, Duke of Mecklenburg-Stargard",Point(11.416666666 53.633333333),1326,11
http://www.wikidata.org/entity/Q64214,"Richardis of Schwerin, Queen of Sweden",Point(11.416666666 53.633333333),1347,17
http://www.wikidata.org/entity/Q64251,"Duke Albrecht II, Duke of Mecklenburg",Point(11.416666666 53.633333333),1318,20
http://www.wikidata.org/entity/Q764421,Elisabeth of Swabia,Point(11.0775 49.453888888),1205,20
http://www.wikidata.org/entity/Q61336,"Frederick I, Elector of Brandenburg",Point(11.0775 49.453888888),1371,29
http://www.wikidata.org/entity/Q63886,"Frederick V, Burgrave of Nuremberg",Point(11.0775 49.453888888),1332,17
http://www.wikidata.org/entity/Q63886,"Frederick V, Burgrave of Nuremberg",Point(11.0775 49.453888888),1333,17
http://www.wikidata.org/entity/Q70684,Christina Ebner,Point(11.0775 49.453888888),1277,9
http://www.wikidata.org/entity/Q152148,Wenceslaus IV of Bohemia,Point(11.0775 49.453888888),1361,49
http://www.wikidata.org/entity/Q370902,"Frederick III, Burgrave of Nuremberg",Point(11.0775 49.453888888),1220,11
http://www.wikidata.org/entity/Q1524640,Beatrice of Nuremberg,Point(11.0775 49.453888888),1362,14
http://www.wikidata.org/entity/Q64283,Konrad von Feuchtwangen,Point(11.385555555 49.078611111),1230,18
http://www.wikidata.org/entity/Q4597001,"Matilda of Bavaria, Margravine of Meissen",Point(11.385555555 49.078611111),1313,10
http://www.wikidata.org/entity/Q62959,"Eberhard III, Count of Württemberg",Point(9.18 48.7775),1364,17
http://www.wikidata.org/entity/Q64333,"Eberhard IV, Count of Württemberg",Point(9.18 48.7775),1388,15
http://www.wikidata.org/entity/Q642040,Ulrich of Württemberg,Point(9.18 48.7775),1342,6
http://www.wikidata.org/entity/Q650606,"Eberhard I, Count of Württemberg",Point(9.18 48.7775),1265,15
http://www.wikidata.org/entity/Q698963,Karl von Trier,Point(6.641388888 49.756666666),1265,13
http://www.wikidata.org/entity/Q698963,Karl von Trier,Point(6.63935 49.75565),1265,13
http://www.wikidata.org/entity/Q91136,John of Hildesheim,Point(9.95 52.15),1315,8
http://www.wikidata.org/entity/Q810169,Basil Valentine,Point(8.266666666 50.0),1394,14
http://www.wikidata.org/entity/Q938209,Jaromar III,Point(13.4 54.416666666),1249,6
http://www.wikidata.org/entity/Q92357,Jakob Fugger the Elder,Point(10.897777777 48.368888888),1398,8
http://www.wikidata.org/entity/Q88568,"Ulrich IV, Lord of Hanau",Point(8.916944444 50.132777777),1330,6
http://www.wikidata.org/entity/Q90752,"Reinhard I, Lord of Hanau",Point(8.916944444 50.132777777),1225,6
http://www.wikidata.org/entity/Q90857,"Reinhard II, Count of Hanau",Point(8.916944444 50.132777777),1369,6
http://www.wikidata.org/entity/Q57161,Louis IV of Bavaria,Point(11.575 48.1375),1282,54
http://www.wikidata.org/entity/Q57161,Louis IV of Bavaria,Point(11.575 48.1375),1286,54
http://www.wikidata.org/entity/Q63178,"Stephen II, Duke of Bavaria",Point(11.575 48.1375),1319,24
http://www.wikidata.org/entity/Q63291,"John II, Duke of Bavaria",Point(11.575 48.1375),1341,20
http://www.wikidata.org/entity/Q121371,Andreas Fugger,Point(10.897777777 48.368888888),1394,6
http://www.wikidata.org/entity/Q326711,Marquard of Randeck,Point(10.897777777 48.368888888),1296,6
http://www.wikidata.org/entity/Q63163,"Ernest, Duke of Bavaria",Point(11.575 48.1375),1373,22
http://www.wikidata.org/entity/Q63156,"William III, Duke of Bavaria",Point(11.575 48.1375),1375,20
http://www.wikidata.org/entity/Q77253,"Albert I, Duke of Bavaria",Point(11.575 48.1375),1336,25
http://www.wikidata.org/entity/Q241424,Stephen the Posthumous,Point(10.0 51.0),1235,19
http://www.wikidata.org/entity/Q241424,Stephen the Posthumous,Point(10.0 51.0),1236,19
http://www.wikidata.org/entity/Q266533,Margaret Sambiria,Point(10.0 51.0),1230,22
http://www.wikidata.org/entity/Q567387,"John I, Duke of Saxony",Point(10.0 51.0),1249,17
http://www.wikidata.org/entity/Q154064,Isabeau of Bavaria,Point(11.575 48.1375),1370,43
http://www.wikidata.org/entity/Q241653,"Elizabeth of Carinthia, Queen of Germany",Point(11.575 48.1375),1262,23
http://www.wikidata.org/entity/Q826507,Walraven van Meurs,Point(10.0 51.0),1393,6
http://www.wikidata.org/entity/Q28630,Hermannus Alemannus,Point(10.0 51.0),1250,9
http://www.wikidata.org/entity/Q702205,"Otto VII or V, Duke of Bavaria",Point(11.575 48.1375),1346,22
http://www.wikidata.org/entity/Q455065,Joanna Sophia of Bavaria,Point(11.575 48.1375),1373,21
http://www.wikidata.org/entity/Q455201,Sophia of Bavaria,Point(11.575 48.1375),1376,18
http://www.wikidata.org/entity/Q111865,Ulrich of Richenthal,Point(9.175277777 47.663333333),1360,7
http://www.wikidata.org/entity/Q303435,Henry Suso,Point(9.175277777 47.663333333),1295,33
http://www.wikidata.org/entity/Q8199365,Andrés Marzal de Sas,Point(10.0 51.0),1301,6
http://www.wikidata.org/entity/Q670632,Master Bertram,Point(8.916666666 52.288333333),1345,15
http://www.wikidata.org/entity/Q10825976,Anna of Brunswick-Lüneburg,Point(10.521111111 52.269166666),1390,7
http://www.wikidata.org/entity/Q72163,Meir ben Baruch,Point(8.365277777 49.631944444),1215,9
http://www.wikidata.org/entity/Q70840,"Sophie of Thuringia, Duchess of Brabant",Point(8.766666666 50.816666666),1224,15
http://www.wikidata.org/entity/Q70868,"Otto I, Landgrave of Hesse",Point(8.766666666 50.816666666),1272,11
http://www.wikidata.org/entity/Q71997,Henry of Langenstein,Point(8.766666666 50.816666666),1325,8
http://www.wikidata.org/entity/Q76968,"Henry I, Landgrave of Hesse",Point(8.766666666 50.816666666),1244,17
http://www.wikidata.org/entity/Q64236,Berthold Schwarz,Point(7.85 47.995),1318,14
http://www.wikidata.org/entity/Q3768482,John of Freiburg-Neuchâtel,Point(7.85 47.995),1396,9
http://www.wikidata.org/entity/Q3768482,John of Freiburg-Neuchâtel,Point(7.85 47.995),1396,9
http://www.wikidata.org/entity/Q14865161,Konrad III.,Point(7.85 47.995),1372,6
http://www.wikidata.org/entity/Q179421,Balthasar,Point(11.966666666 51.2),1336,16
http://www.wikidata.org/entity/Q645779,Hermann von Wartberge,Point(9.393055555 52.756111111),1330,10
http://www.wikidata.org/entity/Q86961,Procopius of Ustyug,Point(10.686388888 53.869722222),1300,9
http://www.wikidata.org/entity/Q836583,Hermannus Korner,Point(10.686388888 53.869722222),1365,6
http://www.wikidata.org/entity/Q1224163,Theodoric of Freiberg,Point(13.342777777 50.911944444),1240,16
http://www.wikidata.org/entity/Q1224163,Theodoric of Freiberg,Point(13.342777777 50.911944444),1250,16
http://www.wikidata.org/entity/Q64742,William I,Point(13.74 51.05),1343,16
http://www.wikidata.org/entity/Q702473,Frederick III,Point(13.74 51.05),1332,19
http://www.wikidata.org/entity/Q704939,Frederick I,Point(13.74 51.05),1370,30
http://www.wikidata.org/entity/Q321820,John III,Point(13.3 53.483333333),1389,8
http://www.wikidata.org/entity/Q321964,"Albert I, Duke of Mecklenburg-Stargard",Point(13.3 53.483333333),1367,9
http://www.wikidata.org/entity/Q321964,"Albert I, Duke of Mecklenburg-Stargard",Point(13.3 53.483333333),1377,9
http://www.wikidata.org/entity/Q68268,Margareta Ebner,Point(10.776988888 48.718430555),1291,15
http://www.wikidata.org/entity/Q220976,Thomas à Kempis,Point(6.419444444 51.365833333),1379,67
http://www.wikidata.org/entity/Q220976,Thomas à Kempis,Point(6.419444444 51.365833333),1380,67
http://www.wikidata.org/entity/Q77244,"William I, Duke of Bavaria",Point(8.682222222 50.110555555),1330,23
http://www.wikidata.org/entity/Q103073,Heinrich von Herford,Point(8.673430555 52.114569444),1326,8
http://www.wikidata.org/entity/Q61154,Henry XIII or I Duke of Bavaria,Point(12.150833333 48.539722222),1235,20
http://www.wikidata.org/entity/Q61833,"Meinhard III, Count of Gorizia-Tyrol",Point(12.150833333 48.539722222),1344,21
http://www.wikidata.org/entity/Q61967,"Stephen I, Duke of Bavaria",Point(12.150833333 48.539722222),1271,17
http://www.wikidata.org/entity/Q62649,"Henry XIV, Duke of Bavaria",Point(12.150833333 48.539722222),1305,18
http://www.wikidata.org/entity/Q64326,"Louis III, Duke of Bavaria",Point(12.150833333 48.539722222),1269,17
http://www.wikidata.org/entity/Q64326,"Louis III, Duke of Bavaria",Point(12.150833333 48.539722222),1269,17
http://www.wikidata.org/entity/Q64326,"Louis III, Duke of Bavaria",Point(12.150833333 48.539722222),1269,17
http://www.wikidata.org/entity/Q1694708,John II of Oldenburg,Point(8.213888888 53.143888888),1270,10
http://www.wikidata.org/entity/Q564115,"Dietrich, Count of Oldenburg",Point(8.213888888 53.143888888),1390,18
http://www.wikidata.org/entity/Q744583,"John I, Count of Oldenburg",Point(8.213888888 53.143888888),1204,9
http://www.wikidata.org/entity/Q820554,"Conrad I, Count of Oldenburg",Point(8.213888888 53.143888888),1250,10
http://www.wikidata.org/entity/Q61467,"Louis II, Duke of Bavaria",Point(8.71 49.412222222),1229,25
http://www.wikidata.org/entity/Q330895,Ulrich von Jungingen,Point(9.109444444 47.885555555),1360,27
http://www.wikidata.org/entity/Q61332,Peter Parler,Point(9.8 48.8),1330,35
http://www.wikidata.org/entity/Q464594,"William VII of Jülich, 1st Duke of Berg",Point(6.358333333 50.922222222),1348,14
http://www.wikidata.org/entity/Q434728,Hedwig of Holstein,Point(9.516388888 53.925),1260,17
http://www.wikidata.org/entity/Q1874154,Agnes of Habsburg,Point(7.791666666 47.561111111),1257,6
