person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q66464,Juan de Colonia,Point(6.957777777 50.942222222),1410,10
http://www.wikidata.org/entity/Q267331,"Louis V, Landgrave of Hesse-Darmstadt",Point(8.65 49.866666666),1577,21
http://www.wikidata.org/entity/Q467772,"Philip III, Landgrave of Hesse-Butzbach",Point(8.65 49.866666666),1581,12
http://www.wikidata.org/entity/Q76568,Heinrich Cornelius Agrippa,Point(6.957777777 50.942222222),1486,57
http://www.wikidata.org/entity/Q77709,Georg Braun,Point(6.957777777 50.942222222),1541,15
http://www.wikidata.org/entity/Q77709,Georg Braun,Point(6.957777777 50.942222222),1542,15
http://www.wikidata.org/entity/Q84106,Peter Binoit,Point(6.957777777 50.942222222),1590,7
http://www.wikidata.org/entity/Q89983,Master of the Aachen Altar,Point(6.957777777 50.942222222),1500,9
http://www.wikidata.org/entity/Q62514,Heinrich Aldegrever,Point(8.766666666 51.716666666),1502,24
http://www.wikidata.org/entity/Q100907,Frederick of Brandenberg,Point(13.383333333 52.516666666),1530,8
http://www.wikidata.org/entity/Q101089,Gerhard Westerburg,Point(6.957777777 50.942222222),1486,7
http://www.wikidata.org/entity/Q1140201,Crispijn van de Passe the Younger,Point(6.957777777 50.942222222),1593,7
http://www.wikidata.org/entity/Q1140201,Crispijn van de Passe the Younger,Point(6.957777777 50.942222222),1597,7
http://www.wikidata.org/entity/Q78132,Johann II. von Blankenfeld,Point(13.383333333 52.516666666),1471,8
http://www.wikidata.org/entity/Q85141,Sigismund of Brandenburg,Point(13.383333333 52.516666666),1538,9
http://www.wikidata.org/entity/Q124074,Hermann von Weinsberg,Point(6.957777777 50.942222222),1518,6
http://www.wikidata.org/entity/Q152835,Hans von Aachen,Point(6.957777777 50.942222222),1552,36
http://www.wikidata.org/entity/Q312673,Joost van den Vondel,Point(6.957777777 50.942222222),1587,46
http://www.wikidata.org/entity/Q324096,Jacob Binck,Point(6.957777777 50.942222222),1500,10
http://www.wikidata.org/entity/Q445880,Countess Emilia of Nassau,Point(6.957777777 50.942222222),1569,15
http://www.wikidata.org/entity/Q445880,Countess Emilia of Nassau,Point(6.957777777 50.942222222),1569,15
http://www.wikidata.org/entity/Q445880,Countess Emilia of Nassau,Point(6.957777777 50.942222222),1569,15
http://www.wikidata.org/entity/Q547021,Katharina Henot,Point(6.957777777 50.942222222),1570,8
http://www.wikidata.org/entity/Q595762,Anton Wolfradt,Point(6.957777777 50.942222222),1582,6
http://www.wikidata.org/entity/Q698115,Bartholomaeus Bruyn the Elder,Point(6.957777777 50.942222222),1493,14
http://www.wikidata.org/entity/Q260926,Anna of Brandenburg,Point(13.383333333 52.516666666),1487,21
http://www.wikidata.org/entity/Q2296290,John of Cologne,Point(6.957777777 50.942222222),1500,8
http://www.wikidata.org/entity/Q2296290,John of Cologne,Point(6.957777777 50.942222222),1505,8
http://www.wikidata.org/entity/Q1782485,Conrad Vorstius,Point(6.957777777 50.942222222),1569,7
http://www.wikidata.org/entity/Q290616,Magdalene of Brandenburg,Point(13.383333333 52.516666666),1582,18
http://www.wikidata.org/entity/Q326574,Agnes of Brandenburg,Point(13.383333333 52.516666666),1584,13
http://www.wikidata.org/entity/Q326738,Anna of Brandenburg,Point(13.383333333 52.516666666),1507,14
http://www.wikidata.org/entity/Q327994,"Ursula of Brandenburg, Duchess of Münsterberg-Oels",Point(13.383333333 52.516666666),1450,9
http://www.wikidata.org/entity/Q2086837,Philip I of Nassau-Wiesbaden,Point(6.957777777 50.942222222),1492,8
http://www.wikidata.org/entity/Q525110,Erdmuthe of Brandenburg,Point(13.383333333 52.516666666),1561,13
http://www.wikidata.org/entity/Q67132,Caspar Creuziger,Point(12.375 51.34),1504,12
http://www.wikidata.org/entity/Q67132,Caspar Creuziger,Point(12.375 51.34),1504,12
http://www.wikidata.org/entity/Q73366,Heinrich Khunrath,Point(12.375 51.34),1560,14
http://www.wikidata.org/entity/Q73654,Ludwig Jungermann,Point(12.375 51.34),1572,9
http://www.wikidata.org/entity/Q75977,Christoph Hegendorff,Point(12.375 51.34),1500,7
http://www.wikidata.org/entity/Q76028,Andreas Düben,Point(12.375 51.34),1597,7
http://www.wikidata.org/entity/Q450806,"Dorothea of Brandenburg, Duchess of Mecklenburg",Point(13.383333333 52.516666666),1420,13
http://www.wikidata.org/entity/Q454851,Elisabeth Sophia of Brandenburg,Point(13.383333333 52.516666666),1589,15
http://www.wikidata.org/entity/Q454907,"Barbara of Brandenburg, Duchess of Brieg",Point(13.383333333 52.516666666),1527,11
http://www.wikidata.org/entity/Q456916,Ursula of Brandenburg,Point(13.383333333 52.516666666),1488,10
http://www.wikidata.org/entity/Q3109847,Goffredo Wals,Point(6.957777777 50.942222222),1595,8
http://www.wikidata.org/entity/Q77472,Cornelius Becker,Point(12.375 51.34),1561,8
http://www.wikidata.org/entity/Q542163,Dorothea Sibylle of Brandenburg,Point(13.383333333 52.516666666),1590,8
http://www.wikidata.org/entity/Q563331,Anna Sophia of Brandenburg,Point(13.383333333 52.516666666),1598,8
http://www.wikidata.org/entity/Q153746,Albrecht Altdorfer,Point(12.083333333 49.016666666),1480,52
http://www.wikidata.org/entity/Q157107,John of Austria,Point(12.083333333 49.016666666),1547,44
http://www.wikidata.org/entity/Q258770,Barbara Blomberg,Point(12.083333333 49.016666666),1527,19
http://www.wikidata.org/entity/Q301112,Erhard Altdorfer,Point(12.083333333 49.016666666),1480,7
http://www.wikidata.org/entity/Q606653,Anton Margaritha,Point(12.083333333 49.016666666),1490,6
http://www.wikidata.org/entity/Q633088,Gregor Aichinger,Point(12.083333333 49.016666666),1561,14
http://www.wikidata.org/entity/Q90923,Nikolaus Krell,Point(12.375 51.34),1550,8
http://www.wikidata.org/entity/Q14551648,Simon van de Passe,Point(6.957777777 50.942222222),1595,6
http://www.wikidata.org/entity/Q702602,Frederick II,Point(12.375 51.34),1412,27
http://www.wikidata.org/entity/Q91860,Mathes Roriczer,Point(12.083333333 49.016666666),1440,8
http://www.wikidata.org/entity/Q96668,Berthold Furtmeyr,Point(12.083333333 49.016666666),1446,7
http://www.wikidata.org/entity/Q123450,Johannes Oecolampadius,Point(9.285833333 49.151944444),1482,23
http://www.wikidata.org/entity/Q1866375,Hubert Goltzius,Point(9.929444444 49.794444444),1526,11
http://www.wikidata.org/entity/Q1866375,Hubert Goltzius,Point(9.929444444 49.794444444),1526,11
http://www.wikidata.org/entity/Q154338,Matthias Grünewald,Point(9.929444444 49.794444444),1455,49
http://www.wikidata.org/entity/Q154338,Matthias Grünewald,Point(9.929444444 49.794444444),1480,49
http://www.wikidata.org/entity/Q324328,Georg Hesler,Point(9.929444444 49.794444444),1427,6
http://www.wikidata.org/entity/Q233496,Christina of Schleswig-Holstein-Gottorp,Point(10.139444444 54.323333333),1573,33
http://www.wikidata.org/entity/Q1503520,"George Albert II, Margrave of Brandenburg",Point(13.383333333 52.516666666),1591,7
http://www.wikidata.org/entity/Q68523,Philipp Apian,Point(11.425 48.763055555),1531,7
http://www.wikidata.org/entity/Q537590,Jörg Syrlin the Elder,Point(9.99155 48.39841),1425,10
http://www.wikidata.org/entity/Q566772,Hans Maler zu Schwaz,Point(9.99155 48.39841),1480,10
http://www.wikidata.org/entity/Q675137,Gregor Erhart,Point(9.99155 48.39841),1465,12
http://www.wikidata.org/entity/Q675137,Gregor Erhart,Point(9.99155 48.39841),1470,12
http://www.wikidata.org/entity/Q877065,Martin Schaffner,Point(9.99155 48.39841),1478,8
http://www.wikidata.org/entity/Q61482,Nikolaus Federmann,Point(9.99155 48.39841),1501,16
http://www.wikidata.org/entity/Q62773,Ambrosius Ehinger,Point(9.99155 48.39841),1500,11
http://www.wikidata.org/entity/Q72369,Johann Faulhaber,Point(9.99155 48.39841),1580,17
http://www.wikidata.org/entity/Q72369,Johann Faulhaber,Point(9.99155 48.39841),1580,17
http://www.wikidata.org/entity/Q1582488,Hans Schüchlin,Point(9.99155 48.39841),1440,6
http://www.wikidata.org/entity/Q2074849,Beato Giacomo da Ulma,Point(9.99155 48.39841),1407,8
http://www.wikidata.org/entity/Q322296,"Henry, Duke of Mecklenburg-Stargard",Point(11.416666666 53.633333333),1412,9
http://www.wikidata.org/entity/Q361663,"Duke Adolf Friedrich I, Duke of Mecklenburg-Schwerin",Point(11.416666666 53.633333333),1588,19
http://www.wikidata.org/entity/Q567163,"Duke Heinrich V, Duke of Mecklenburg-Schwerin",Point(11.416666666 53.633333333),1479,15
http://www.wikidata.org/entity/Q687028,"Ulrich, Duke of Mecklenburg",Point(11.416666666 53.633333333),1527,19
http://www.wikidata.org/entity/Q2086549,"Philip, Duke of Mecklenburg",Point(11.416666666 53.633333333),1514,10
http://www.wikidata.org/entity/Q72304,Erhard Schnepf,Point(9.217953 49.140428),1495,8
http://www.wikidata.org/entity/Q119992,Hans Gerle,Point(11.0775 49.453888888),1500,6
http://www.wikidata.org/entity/Q164882,Hans Leo Hassler,Point(11.0775 49.453888888),1564,29
http://www.wikidata.org/entity/Q262771,Michael Wolgemut,Point(11.0775 49.453888888),1434,23
http://www.wikidata.org/entity/Q269079,Hans Springinklee,Point(11.0775 49.453888888),1495,8
http://www.wikidata.org/entity/Q322471,Hans Hoffmann,Point(11.0775 49.453888888),1530,9
http://www.wikidata.org/entity/Q323731,Johann Andreas Herbst,Point(11.0775 49.453888888),1588,9
http://www.wikidata.org/entity/Q350212,Adam Kraft,Point(11.0775 49.453888888),1450,19
http://www.wikidata.org/entity/Q439439,Johann König,Point(11.0775 49.453888888),1586,7
http://www.wikidata.org/entity/Q449920,Hans Dürer the Younger,Point(11.0775 49.453888888),1490,10
http://www.wikidata.org/entity/Q449920,Hans Dürer the Younger,Point(11.0775 49.453888888),1490,10
http://www.wikidata.org/entity/Q5580,Albrecht Dürer,Point(11.0775 49.453888888),1471,172
http://www.wikidata.org/entity/Q19543,Hans Sachs,Point(11.0775 49.453888888),1494,43
http://www.wikidata.org/entity/Q44838,Martin Behaim,Point(11.0775 49.453888888),1459,35
http://www.wikidata.org/entity/Q58768,Hartmann Schedel,Point(11.0775 49.453888888),1440,23
http://www.wikidata.org/entity/Q61218,Peter Henlein,Point(11.0775 49.453888888),1479,23
http://www.wikidata.org/entity/Q64233,Anton Coberger,Point(11.0775 49.453888888),1440,15
http://www.wikidata.org/entity/Q65027,Basilius Besler,Point(11.0775 49.453888888),1561,17
http://www.wikidata.org/entity/Q68245,Anton Fugger,Point(11.0775 49.453888888),1493,12
http://www.wikidata.org/entity/Q69818,Lucas Osiander the Elder,Point(11.0775 49.453888888),1534,7
http://www.wikidata.org/entity/Q70425,Christoph von Scheurl,Point(11.0775 49.453888888),1481,9
http://www.wikidata.org/entity/Q70919,Veit Dietrich,Point(11.0775 49.453888888),1506,11
http://www.wikidata.org/entity/Q71135,Georg Major,Point(11.0775 49.453888888),1502,11
http://www.wikidata.org/entity/Q71261,Joachim Camerarius the Younger,Point(11.0775 49.453888888),1534,11
http://www.wikidata.org/entity/Q71261,Joachim Camerarius the Younger,Point(11.0775 49.453888888),1534,11
http://www.wikidata.org/entity/Q71325,Jakob Ayrer,Point(11.0775 49.453888888),1543,9
http://www.wikidata.org/entity/Q71325,Jakob Ayrer,Point(11.0775 49.453888888),1544,9
http://www.wikidata.org/entity/Q74965,Johann Siebmacher,Point(11.0775 49.453888888),1561,6
http://www.wikidata.org/entity/Q76161,Johannes Werner,Point(11.0775 49.453888888),1468,17
http://www.wikidata.org/entity/Q77417,Lazarus Spengler,Point(11.0775 49.453888888),1479,9
http://www.wikidata.org/entity/Q77509,Daniel Schwenter,Point(11.0775 49.453888888),1585,8
